col_s,row_s,proportion_lichen,sqrt_proportion_lichen
20,24,0.9788762165589876,9.89381734498362
21,24,0.9890916093888276,9.94530848887468
22,24,0.9822457803924086,9.910831349550898
23,24,0.993250461967362,9.966195171515366
24,24,0.967132684362806,9.83429043888173
25,24,0.9859140075840596,9.929320256614043
26,24,0.9989728963863376,9.994863162576753
27,24,0.9948534615066492,9.974234113487858
28,24,0.9853270912333956,9.926364345687677
29,24,1.0,10.0
30,24,0.9483513611415524,9.73833333348963
31,24,0.9812186767787464,9.905648271459807
32,24,0.9624373535574926,9.810389154144154
33,24,1.0,10.0
34,24,,
35,24,,
36,24,,
37,24,,
0,25,,
1,25,,
2,25,,
3,25,,
4,25,,
5,25,0.7435267253277331,8.622799576284567
6,25,0.7926680206964369,8.903190555617895
7,25,0.6474100023384949,8.0461792320237
8,25,0.8204035966967614,9.057613353951258
9,25,0.8543713804914508,9.243221194429195
10,25,0.4931564636455759,7.02250997610951
11,25,0.8322565558097841,9.122809631959795
12,25,0.9949928698833962,9.974932931520874
13,25,0.8126246427291358,9.014569555609052
14,25,0.9356455392064708,9.672877230723394
15,25,0.8611759419319636,9.279956583583587
16,25,0.9827043087913648,9.913144348749114
17,25,0.9782840950254252,9.890824510754527
18,25,0.9813654058664124,9.906388877216624
19,25,0.9460036957388956,9.72627213139184
20,25,0.9136851972686584,9.55868818022985
21,25,0.9860607366717258,9.930059096862042
22,25,0.9483513611415524,9.73833333348963
23,25,0.9862074657593918,9.930797882141151
24,25,1.0,10.0
25,25,1.0,10.0
26,25,1.0,10.0
27,25,0.9673562415564604,9.83542699406823
28,25,1.0,10.0
