col_s,row_s,proportion_lichen
4,16,0.5217181976165693
5,16,0.6896129561784409
6,16,0.8570732738417991
7,16,0.7880956857062942
8,16,0.3807436413574275
9,16,0.7174685564150416
10,16,0.8753628105956742
11,16,0.9491675416916947
12,16,0.9003709494747557
13,16,0.7984027350175993
14,16,0.7245895024508343
15,16,0.9137232964523658
16,16,0.8661830720485674
17,16,0.907854132945724
18,16,0.9906093383893732
19,16,1.0
20,16,0.9856172629605463
21,16,0.9873537867567828
22,16,0.9906093383893732
23,16,0.8350765054633659
24,16,0.8435867925479965
25,16,0.943380913296865
26,16,0.9502725951331795
27,16,0.8271084724889947
28,16,0.992892809816176
29,16,0.9844467167073992
30,16,1.0
31,16,1.0
32,16,1.0
33,16,1.0
34,16,1.0
35,16,0.8984634713350972
36,16,
37,16,
0,17,
1,17,
2,17,
3,17,
4,17,0.6697495059356501
5,17,0.960456510874001
6,17,0.910597274172648
7,17,0.8710526436454842
8,17,0.5545992691057321
9,17,0.7507760593152337
10,17,0.9213715501469584
11,17,0.8127370018662106
12,17,0.9391074286185915
13,17,0.8822177904807418
14,17,0.8867985088656466
15,17,0.6741513785656315
16,17,0.9781740482096759
17,17,0.8847076193664054
18,17,0.9442062644149866
19,17,1.0
20,17,0.9894128350993925
21,17,0.9906093383893732
22,17,1.0
23,17,0.901398053088418
24,17,0.9906093383893732
25,17,1.0
26,17,0.9644594637968903
27,17,0.8672514727371313
28,17,1.0
29,17,0.924434519851987
30,17,0.9925168165290317
31,17,0.9906093383893732
32,17,1.0
33,17,1.0
34,17,1.0
35,17,0.934265368725612
36,17,
37,17,
0,18,
1,18,
2,18,
3,18,
4,18,0.7051158013471565
5,18,0.7820339402720907
6,18,0.82854674619294
7,18,0.9515794010702053
8,18,0.6668011683303605
9,18,0.7273544286965413
10,18,0.8927181104961736
11,18,0.6952666113375732
12,18,0.7300184786944779
13,18,0.8700131420536527
14,18,0.6559936539669584
15,18,0.7959777888843546
16,18,0.8435455249920903
17,18,0.9097616110853826
18,18,0.7175831885147806
19,18,0.8820298135165001
20,18,0.7807574601832535
21,18,1.0
22,18,0.9832728840060709
23,18,0.9838598003567351
24,18,1.0
25,18,0.9584756681905093
26,18,1.0
27,18,1.0
28,18,0.9960383146330168
29,18,0.9906093383893732
30,18,1.0
31,18,0.98664765302239
32,18,1.0
33,18,1.0
34,18,1.0
35,18,1.0
36,18,
37,18,
0,19,
1,19,
2,19,
3,19,
4,19,0.7097927910165116
5,19,0.9415467997010395
6,19,1.0
7,19,0.9389606995309254
8,19,0.6794565521415569
9,19,0.6037718546098153
10,19,0.8422433043390543
11,19,0.9138929519599797
12,19,0.894795244143446
13,19,0.8825118783946476
14,19,0.8807092517275057
15,19,0.8153001756163768
16,19,0.7944371334638611
17,19,0.7446547051891659
18,19,0.8368372545153584
19,19,0.8576727849639367
20,19,0.8429570539743224
21,19,0.8052905006671588
22,19,0.78298767934192
23,19,0.7876830101472335
24,19,0.9677196007134702
25,19,0.9570083773138489
26,19,0.9859140075840597
27,19,1.0
28,19,0.9945710237563563
29,19,1.0
30,19,0.9421887394595785
31,19,0.9467373411772259
32,19,0.9049195511924031
33,19,1.0
34,19,1.0
35,19,
36,19,
37,19,
0,20,
1,20,
2,20,
3,20,
4,20,0.5917048827783956
5,20,0.812868184282839
6,20,0.9871797233325351
7,20,0.9770611427153505
8,20,0.817435737195688
9,20,0.8452454255544016
10,20,0.8323790793210245
11,20,0.9649943479979046
12,20,1.0
13,20,0.7173644753080735
14,20,0.8991278455303232
15,20,0.9111854500004595
16,20,0.8626609442060086
17,20,0.9097150104309307
18,20,0.9797079339405024
19,20,0.9429469447022819
20,20,0.948129455322441
21,20,1.0
22,20,0.95765134039757
23,20,0.9355947468546378
24,20,0.9658858019869314
25,20,0.9944123296357905
26,20,0.8756008124178621
27,20,0.9605076534841313
28,20,1.0
29,20,1.0
30,20,0.9873542197020522
31,20,0.9858837801325233
32,20,0.9879423955298637
33,20,0.9435351205300935
34,20,1.0
35,20,
36,20,
37,20,
0,21,
1,21,
2,21,
3,21,
4,21,0.5443740858090046
5,21,0.921449499974781
6,21,0.8438898640762423
7,21,0.944242946686903
8,21,0.723709127924838
9,21,0.7615652325426775
10,21,0.6333240099225546
11,21,0.9822457803924086
12,21,0.9530466919468658
13,21,0.9758847910597274
14,21,0.9165570019579162
15,21,0.9019391165991866
16,21,0.9577420227521791
17,21,0.9404279904075858
18,21,0.9609700626808322
19,21,0.950552297456543
