col_s,row_s,proportion_lichen
28,15,0.9455864348958453
29,15,0.9411616358459162
30,15,0.9104952565237128
31,15,0.7615652325426775
32,15,0.9781373659377594
33,15,0.8867251443218136
34,15,0.9372122303811196
35,15,0.5916804607293352
36,15,0.30697100724933396
37,15,
0,16,
1,16,
2,16,
3,16,0.7350852175029461
4,16,0.4722659097891228
5,16,0.6878522071264483
6,16,0.8636902519046787
7,16,0.7791452113586655
8,16,0.3381922059342745
9,16,0.6831339499011871
10,16,0.8389739968544951
11,16,0.956944183337995
12,16,0.9019849694390822
13,16,0.7232632730146769
14,16,0.6345253543278203
15,16,0.9098808284691112
16,16,0.7875362810595674
17,16,0.9129896510140355
18,16,1.0
19,16,1.0
20,16,0.9903226695830385
21,16,0.9917556593867641
22,16,1.0
23,16,0.8073447078944834
24,16,0.8259793020280711
25,16,0.9245995900756113
26,16,0.9160847177069912
27,16,0.6637426363143433
28,16,0.96677503221162
29,16,0.9501121101935448
30,16,0.9859140075840597
31,16,0.901251324000752
32,16,0.9057999257183994
33,16,0.9775504495870951
34,16,0.9439762524009521
35,16,0.5375374273805649
36,16,
37,16,
0,17,
1,17,
2,17,
3,17,
4,17,0.5724727060970521
5,17,0.9667658616436409
6,17,0.9408883293049416
7,17,0.8650367510511764
8,17,0.527894575150512
9,17,0.7337554851459726
10,17,0.9131547212376598
11,17,0.8624781625849997
12,17,0.9504055683688769
13,17,0.8958928784773599
14,17,0.8585990123298286
15,17,0.5758704015333189
16,17,0.985217044417646
17,17,0.9089179188313028
18,17,0.9477277625189716
19,17,1.0
20,17,0.998823648344377
21,17,1.0
22,17,1.0
23,17,0.8622213866815841
24,17,0.9859140075840597
25,17,0.9765233459734328
26,17,0.9456781405756366
27,17,0.8278436922737591
28,17,1.0
29,17,0.9118158183127072
30,17,0.9831261549184048
31,17,0.963904644434153
32,17,0.9614836144876633
33,17,0.7457551733466612
34,17,0.7239249708209647
35,17,0.23633929267409176
36,17,
37,17,
0,18,
1,18,
2,18,
3,18,
4,18,0.6646185731513281
5,18,0.7430040029529229
6,18,0.850897427649778
7,18,0.9656653934861456
8,18,0.6668011683303605
9,18,0.7244198469432205
10,18,0.9170751390487369
11,18,0.7055376474741963
12,18,0.6930427486026347
13,18,0.8419277462756523
14,18,0.5739720939616395
15,18,0.7488777517435542
16,18,0.7819193081723517
17,18,0.8999307622117576
18,18,0.7231588938460903
19,18,0.868237279275892
20,18,0.7659060205310125
21,18,1.0
22,18,0.98664765302239
23,18,0.9804850313404161
24,18,0.9906093383893732
25,18,0.9584756681905093
26,18,1.0
27,18,1.0
28,18,0.9960383146330168
29,18,0.9765233459734328
30,18,1.0
31,18,0.9873812984607202
32,18,0.7469656883199061
33,18,0.41919583289391027
34,18,0.09749014345976051
35,18,0.17311281174199525
36,18,
37,18,
0,19,
1,19,
2,19,
3,19,
4,19,0.6010665370559726
5,19,0.9436010069283641
6,19,1.0
7,19,0.9530466919468658
8,19,0.6470294237673611
9,19,0.5707578098849552
10,19,0.8333020005594046
11,19,0.9348660409282449
12,19,0.8952354314064441
13,19,0.875894900331768
14,19,0.8786550445001812
15,19,0.7978394141841175
16,19,0.6876183576429806
17,19,0.6723172649698059
18,19,0.7901774046375563
19,19,0.8407989398823417
20,19,0.8159009658949923
21,19,0.7944325481798715
22,19,0.7784390776242727
23,19,0.7837213247802503
24,19,0.9615569790314963
25,19,0.9326513487612855
26,19,0.9257550816409814
27,19,1.0
28,19,0.9945710237563563
29,19,1.0
30,19,0.904626093017071
31,19,0.9320644324106213
32,19,0.7888568428485618
33,19,0.5351760061259394
34,19,0.6752074698330132
35,19,
36,19,
37,19,
0,20,
1,20,
2,20,
3,20,
4,20,0.5561202451957982
5,20,0.8074275578755824
6,20,0.9905689918768075
7,20,0.9811783735100311
8,20,0.817435737195688
9,20,0.8190716012167888
10,20,0.8376634715240188
11,20,0.9879423955298637
12,20,1.0
13,20,0.7315109874928623
14,20,0.8923638235104907
15,20,0.8567791859278934
16,20,0.8532501309610242
17,20,0.8908933839409618
18,20,0.9750025273180102
19,20,0.9429469447022819
20,20,0.9313304721030042
21,20,1.0
22,20,0.910597274172648
23,20,0.8979514938747002
24,20,0.9585336041392873
25,20,0.990001010927204
26,20,0.7453198665576091
27,20,0.878575770413896
28,20,1.0
29,20,0.9905891867550156
30,20,0.9450055600996223
31,20,0.9435351205300935
32,20,0.8541323947027415
33,20,0.7347327016570016
34,20,1.0
35,20,
36,20,
37,20,
0,21,
1,21,
2,21,
3,21,
4,21,0.48509553439192254
5,21,0.8652522593986859
6,21,0.8438898640762423
7,21,0.9865009239347239
8,21,0.7162259444538698
9,21,0.7427839093214238
10,21,0.6463828987248326
11,21,0.9785775532007575
12,21,0.9483513611415523
13,21,0.9852956043047119
14,21,0.8951345551586738
15,21,0.8783157334849534
16,21,0.9624373535574926
17,21,0.9545139828235262
18,21,0.9468840702648919
19,21,0.9530466919468658
20,21,0.9200080874176324
21,21,0.9162176909426886
22,21,0.8726391519058733
23,21,0.9925168165290317
24,21,0.9765233459734328
25,21,0.9859140075840597
26,21,1.0
27,21,0.9482405271525857
28,21,0.9697738079407948
29,21,0.8085185405958119
30,21,0.8179092022064387
31,21,0.8892195388121363
32,21,0.4857787417063676
33,21,0.36239792011518235
34,21,
35,21,
36,21,
37,21,
0,22,
1,22,
2,22,
3,22,
4,22,0.6975592533323551
5,22,0.8495063941785235
6,22,0.8861374309582671
7,22,0.8479886651779778
8,22,0.9747625969214403
9,22,0.8909802878641289
10,22,0.9624373535574926
11,22,0.9577420227521791
12,22,0.9124027346633714
13,22,0.8769242080304381
14,22,0.9801457203251883
15,22,0.8340952546895992
16,22,0.9380803250049292
17,22,1.0
18,22,0.8676503629252278
19,22,1.0
20,22,0.9811783735100311
21,22,0.8862849570588155
22,22,0.9587691263658414
23,22,0.8664765302238994
24,22,1.0
25,22,0.9859140075840597
26,22,0.9530466919468658
27,22,1.0
28,22,1.0
29,22,1.0
30,22,1.0
31,22,1.0
32,22,0.7928827221913989
33,22,0.42084194984616374
34,22,
35,22,
36,22,
37,22,
0,23,
1,23,
2,23,
3,23,
4,23,0.10063781300294834
5,23,0.5460477144651954
6,23,0.8042844932957146
7,23,0.9597962299795038
8,23,0.9059466548060654
9,23,0.9119625474003732
10,23,0.9281027470436382
11,23,0.8146811622777856
12,23,0.9834196130937369
13,23,0.7942855042229187
14,23,1.0
15,23,0.6689791782254034
16,23,0.6626698274557635
17,23,0.4643517096231355
18,23,0.527032541760474
19,23,0.9234074162383247
20,23,0.963188464401577
21,23,0.9844971548312845
22,23,0.9454121941042418
23,23,0.9872391546570437
24,23,0.9909027965647053
25,23,0.9950112110193545
26,23,0.9138700255400318
27,23,0.970150076738565
28,23,1.0
29,23,1.0
30,23,0.9347055559886102
31,23,1.0
32,23,0.9021500396627065
33,23,0.33554649707229617
34,23,
35,23,
36,23,
37,23,
0,24,
1,24,
2,24,
3,24,
4,24,
5,24,0.7832903080852313
6,24,0.8728069772357574
7,24,0.9185653563453452
8,24,0.9398410740569217
9,24,0.795679745425033
10,24,0.7312656759396393
11,24,0.9929570037920299
12,24,0.9358977298258968
13,24,0.8001488820064148
14,24,0.9413083649335822
15,24,0.7538069320323354
16,24,0.964619948736525
17,24,0.8452879329081247
18,24,0.8131267510053235
19,24,0.569203398612493
20,24,0.9694654033140032
21,24,0.9937869401941409
22,24,0.9480624882502098
23,24,0.9831215696344153
24,24,0.9389606995309254
25,24,0.9530466919468658
26,24,0.9781373659377594
27,24,0.9494168788082087
28,24,0.9675728716258042
29,24,1.0
30,24,0.7600979416660171
31,24,0.9624373535574926
32,24,0.5788508361265355
33,24,0.6452457482954207
34,24,
35,24,
36,24,
37,24,
0,25,
1,25,
2,25,
3,25,
4,25,
5,25,0.6374415949451829
6,25,0.7939914163090128
7,25,0.6521053331438083
8,25,0.8391849199180151
9,25,0.8191563994516
10,25,0.4887224940276676
11,25,0.8523905378079591
12,25,0.9949928698833962
13,25,0.8107682127726057
14,25,0.9498232373022023
15,25,0.8564806111266501
16,25,0.9780089779860516
17,25,0.9659588516614777
18,25,0.9906093383893732
19,25,0.9549541700865243
20,25,0.9394178897354127
21,25,0.9862074657593918
22,25,0.9389606995309254
23,25,0.9768168041487649
24,25,1.0
25,25,1.0
26,25,1.0
27,25,0.9347124831129205
28,25,1.0
29,25,1.0
30,25,0.9531934210345318
31,25,0.9906093383893732
